datum a čas, stav, průtok, teplota
15.11.2021 10:00,46,1.88,6.8
20.12.2021 07:00,48,2.21,3.9
14.01.2022 07:00,54,3.47,1.7
14.01.2022 08:00,54,3.47,1.6
14.01.2022 09:00,54,3.47,1.6
15.01.2022 07:00,53,3.23,1.8
15.01.2022 08:00,53,3.23,1.8
15.01.2022 10:00,52,3,1.9
16.01.2022 07:00,53,3.23,1.8
16.01.2022 08:00,53,3.23,1.8
16.01.2022 09:00,53,3.23,1.8
17.01.2022 07:00,53,3.23,1.6
17.01.2022 08:00,53,3.23,1.6
17.01.2022 09:00,53,3.23,1.7
18.01.2022 07:00,53,3.23,1.9
18.01.2022 08:00,53,3.23,1.9
18.01.2022 09:00,53,3.23,1.9
19.01.2022 07:00,52,3,1.8
19.01.2022 08:00,52,3,1.8
19.01.2022 09:00,52,3,1.9
20.01.2022 07:00,52,3,2.2
20.01.2022 08:00,52,3,2.1 
20.01.2022 09:00,52,3,2.1
21.01.2022 07:00,52,3,1.4
21.01.2022 08:00,52,3,1.4 
21.01.2022 09:00,52,3,1.3
22.01.2022 07:00,53,3.23,0.6
22.01.2022 08:00,53,3.23,0.6
22.01.2022 09:00,53,3.23,0.6
23.01.2022 07:00,51,2.78,1.1
23.01.2022 08:00,51,2.78,1.1
23.01.2022 09:00,51,2.78,1.1
24.01.2022 07:00,51,2.78,1.5
24.01.2022 08:00,51,2.78,1.5
24.01.2022 10:00,51,2.78,1.6
25.01.2022 07:00,51,2.78,2.2
25.01.2022 08:00,51,2.78,2.2
25.01.2022 09:00,51,2.78,2.2
26.01.2022 07:00,51,2.78,2.4
26.01.2022 09:00,51,2.78,2.4
26.01.2022 08:00,52,3,2.4
26.01.2022 09:00,51,2.78,2.4
27.01.2022 07:00,52,3,2.4
27.01.2022 08:00,52,3,2.4
27.01.2022 09:00,52,3,2.4
28.01.2022 07:00,52,3,2.3
28.01.2022 08:00,52,3,2.3
28.01.2022 09:00,52,3,2.3
28.01.2022 16:00,52,3,2.5
28.01.2022 17:00,52,3,2.5
28.01.2022 18:00,53,3.23,2.5
28.01.2022 19:00,53,3.23,2.5
28.01.2022 20:00,53,3.23,2.5
28.01.2022 21:00,53,3.23,2.4
28.01.2022 22:00,53,3.23,2.4
28.01.2022 23:00,53,3.23,2.4
29.01.2022 00:00,53,3.23,2.3
29.01.2022 02:00,52,3,2.3
29.01.2022 01:00,53,3.23,2.3
29.01.2022 02:00,52,3,2.3
29.01.2022 02:00,52,3,2.3
29.01.2022 03:00,52,3,2.3
29.01.2022 04:00,52,3,2.3
29.01.2022 05:00,52,3,2.3
29.01.2022 06:00,53,3.23,2.3
29.01.2022 07:00,52,3,2.2
29.01.2022 08:00,52,3,2.2
29.01.2022 09:00,52,3,2.2
29.01.2022 10:00,52,3,2.2
29.01.2022 11:00,52,3,2.2
29.01.2022 12:00,52,3,2.2
29.01.2022 13:00,52,3,2.2
29.01.2022 14:00,52,3,2.2
29.01.2022 15:00,52,3,2.2
29.01.2022 16:00,52,3,2.2
29.01.2022 17:00,52,3,2.2
29.01.2022 18:00,52,3,2.2
29.01.2022 19:00,52,3,2.2
29.01.2022 20:00,52,3,2.3
29.01.2022 21:00,52,3,2.3
29.01.2022 22:00,52,3,2.3
29.01.2022 23:00,52,3,2.3
30.01.2022 00:00,52,3,2.3
30.01.2022 01:00,52,3,2.4
30.01.2022 02:00,52,3,2.4
30.01.2022 03:00,52,3,2.4
30.01.2022 04:00,52,3,2.5
30.01.2022 05:00,52,3,2.5
30.01.2022 06:00,52,3,2.5
30.01.2022 07:00,52,3,2.6
30.01.2022 08:00,52,3,2.6
30.01.2022 09:00,52,3,2.6
30.01.2022 10:00,52,3,2.7
30.01.2022 11:00,52,3,2.7
30.01.2022 12:00,52,3,2.8
30.01.2022 13:00,51,2.78,2.8
30.01.2022 12:00,52,3,2.8
30.01.2022 14:00,50,2.58,2.9
30.01.2022 15:00,53,3.23,2.9
30.01.2022 16:00,53,3.23,2.9
30.01.2022 17:00,52,3,2.9
30.01.2022 18:00,53,3.23,2.9
30.01.2022 19:00,53,3.23,2.9
30.01.2022 20:00,54,3.47,2.9
30.01.2022 21:00,54,3.47,2.9
30.01.2022 22:00,53,3.23,2.9
30.01.2022 23:00,53,3.23,2.9
31.01.2022 00:00,54,3.47,2.9
31.01.2022 01:00,55,3.73,2.9
31.01.2022 02:00,55,3.73,2.8
31.01.2022 03:00,55,3.73,2.8
31.01.2022 04:00,56,4,2.8
31.01.2022 05:00,56,4,2.8
31.01.2022 06:00,56,4,2.7
31.01.2022 07:00,56,4,2.7
31.01.2022 08:00,56,4,2.7
31.01.2022 09:00,53,3.23,2.7
31.01.2022 10:00,56,4,2.7
31.01.2022 11:00,58,4.57,2.7
31.01.2022 12:00,56,4,2.7
31.01.2022 13:00,55,3.73,2.7
31.01.2022 14:00,53,3.23,2.7
31.01.2022 15:00,56,4,2.7
31.01.2022 16:00,53,3.23,2.7
31.01.2022 17:00,51,2.78,2.7
31.01.2022 18:00,58,4.57,2.7
31.01.2022 19:00,56,4,2.6
31.01.2022 20:00,56,4,2.6
31.01.2022 21:00,56,4,2.6
31.01.2022 22:00,55,3.73,2.6
01.02.2022 00:00,56,4,2.6
31.01.2022 23:00,56,4,2.6
01.02.2022 00:00,56,4,2.6
01.02.2022 01:00,56,4,2.6
01.02.2022 02:00,56,4,2.6
01.02.2022 03:00,56,4,2.6
01.02.2022 04:00,55,3.73,2.5
01.02.2022 05:00,55,3.73,2.5
01.02.2022 06:00,55,3.73,2.5
01.02.2022 07:00,55,3.73,2.5
01.02.2022 08:00,55,3.73,2.4
01.02.2022 09:00,55,3.73,2.5
01.02.2022 10:00,58,4.57,2.5
01.02.2022 11:00,55,3.73,2.5
01.02.2022 12:00,55,3.73,2.5
01.02.2022 13:00,55,3.73,2.5
01.02.2022 14:00,56,4,2.6
01.02.2022 15:00,56,4,2.6
01.02.2022 16:00,54,3.47,2.6
01.02.2022 17:00,55,3.73,2.5
01.02.2022 18:00,55,3.73,2.5
01.02.2022 19:00,55,3.73,2.5
01.02.2022 20:00,56,4,2.5
01.02.2022 21:00,55,3.73,2.4
01.02.2022 22:00,55,3.73,2.4
01.02.2022 23:00,54,3.47,2.4
02.02.2022 00:00,55,3.73,2.4
01.02.2022 23:00,54,3.47,2.4
02.02.2022 00:00,55,3.73,2.4
02.02.2022 01:00,55,3.73,2.4
02.02.2022 02:00,55,3.73,2.4
02.02.2022 03:00,55,3.73,2.4
02.02.2022 04:00,56,4,2.4
02.02.2022 05:00,55,3.73,2.4
02.02.2022 06:00,55,3.73,2.4
02.02.2022 07:00,55,3.73,2.4
02.02.2022 08:00,55,3.73,2.5
02.02.2022 09:00,55,3.73,2.5
02.02.2022 10:00,55,3.73,2.5
02.02.2022 11:00,55,3.73,2.5
02.02.2022 12:00,55,3.73,2.5
02.02.2022 13:00,55,3.73,2.6
02.02.2022 14:00,55,3.73,2.7
02.02.2022 15:00,55,3.73,2.7
02.02.2022 16:00,55,3.73,2.7
02.02.2022 17:00,55,3.73,2.8
02.02.2022 18:00,55,3.73,2.8
02.02.2022 19:00,56,4,2.8
02.02.2022 20:00,56,4,2.8
02.02.2022 21:00,56,4,2.8
02.02.2022 22:00,55,3.73,2.8
02.02.2022 23:00,56,4,2.7
03.02.2022 00:00,56,4,2.7
02.02.2022 23:00,56,4,2.7
03.02.2022 00:00,56,4,2.7
03.02.2022 01:00,56,4,2.7
03.02.2022 02:00,56,4,2.7
03.02.2022 03:00,57,4.28,2.7
03.02.2022 04:00,57,4.28,2.7
03.02.2022 05:00,58,4.57,2.7
03.02.2022 06:00,58,4.57,2.7
03.02.2022 07:00,58,4.57,2.7
03.02.2022 08:00,56,4,2.6
03.02.2022 09:00,59,4.88,2.6
03.02.2022 10:00,59,4.88,2.6
03.02.2022 11:00,59,4.88,2.6
03.02.2022 12:00,59,4.88,2.6
03.02.2022 13:00,59,4.88,2.6
03.02.2022 14:00,60,5.2,2.7
03.02.2022 15:00,60,5.2,2.7
03.02.2022 16:00,60,5.2,2.7
03.02.2022 17:00,60,5.2,2.7
03.02.2022 18:00,61,5.54,2.7
03.02.2022 19:00,60,5.2,2.7
03.02.2022 20:00,60,5.2,2.7
03.02.2022 21:00,60,5.2,2.7
03.02.2022 22:00,60,5.2,2.7
03.02.2022 23:00,59,4.88,2.7
04.02.2022 00:00,59,4.88,2.8
04.02.2022 01:00,58,4.57,2.7
04.02.2022 02:00,58,4.57,2.8
04.02.2022 03:00,58,4.57,2.8
04.02.2022 04:00,58,4.57,2.8
04.02.2022 05:00,58,4.57,2.8
04.02.2022 06:00,58,4.57,2.8
04.02.2022 07:00,58,4.57,2.8
04.02.2022 08:00,58,4.57,2.9
04.02.2022 09:00,58,4.57,2.9
04.02.2022 10:00,57,4.28,2.9
04.02.2022 11:00,57,4.28,2.9
04.02.2022 12:00,58,4.57,3
04.02.2022 13:00,57,4.28,3
04.02.2022 14:00,57,4.28,3.1
04.02.2022 15:00,57,4.28,3.1
04.02.2022 16:00,57,4.28,3.1
04.02.2022 17:00,58,4.57,3.1
04.02.2022 18:00,58,4.57,3.2
04.02.2022 19:00,58,4.57,3.2
04.02.2022 20:00,58,4.57,3.2
04.02.2022 21:00,58,4.57,3.3
04.02.2022 23:00,58,4.57,3.3
04.02.2022 22:00,58,4.57,3.3
04.02.2022 23:00,58,4.57,3.3
05.02.2022 00:00,58,4.57,3.4
05.02.2022 01:00,58,4.57,3.4
05.02.2022 02:00,58,4.57,3.4
05.02.2022 03:00,58,4.57,3.4
05.02.2022 04:00,58,4.57,3.5
05.02.2022 06:00,58,4.57,3.5
05.02.2022 07:00,59,4.88,3.5
05.02.2022 08:00,59,4.88,3.5
05.02.2022 09:00,59,4.88,3.5
05.02.2022 10:00,59,4.88,3.5
05.02.2022 11:00,59,4.88,3.5
05.02.2022 12:00,59,4.88,3.5
05.02.2022 13:00,60,5.2,3.6
05.02.2022 14:00,59,4.88,3.6
05.02.2022 15:00,59,4.88,3.6
05.02.2022 16:00,59,4.88,3.6
05.02.2022 17:00,62,5.88,3.5
05.02.2022 18:00,61,5.54,3.5
05.02.2022 19:00,61,5.54,3.5
05.02.2022 20:00,61,5.54,3.5
05.02.2022 21:00,61,5.54,3.5
05.02.2022 22:00,61,5.54,3.5
05.02.2022 23:00,61,5.54,3.5
06.02.2022 00:00,61,5.54,3.4
06.02.2022 01:00,61,5.54,3.4
06.02.2022 02:00,61,5.54,3.4
06.02.2022 03:00,61,5.54,3.3
06.02.2022 04:00,61,5.54,3.3
06.02.2022 05:00,61,5.54,3.3
06.02.2022 06:00,60,5.2,3.2
06.02.2022 07:00,60,5.2,3.2
06.02.2022 08:00,60,5.2,3.1
06.02.2022 09:00,60,5.2,3.1
06.02.2022 10:00,60,5.2,3.1
06.02.2022 11:00,60,5.2,3.1
06.02.2022 12:00,60,5.2,3.1
06.02.2022 13:00,60,5.2,3.1
06.02.2022 14:00,60,5.2,3.1
06.02.2022 15:00,60,5.2,3.1
06.02.2022 16:00,60,5.2,3.1
06.02.2022 17:00,61,5.54,3.1
06.02.2022 18:00,60,5.2,3.1
06.02.2022 19:00,60,5.2,3.1
06.02.2022 20:00,61,5.54,3.2
06.02.2022 21:00,60,5.2,3.2
06.02.2022 22:00,61,5.54,3.2
06.02.2022 23:00,61,5.54,3.2
07.02.2022 00:00,61,5.54,3.3
06.02.2022 23:00,61,5.54,3.2
07.02.2022 00:00,61,5.54,3.3
07.02.2022 01:00,61,5.54,3.3
07.02.2022 02:00,61,5.54,3.3
07.02.2022 03:00,60,5.2,3.4
07.02.2022 04:00,60,5.2,3.4
07.02.2022 05:00,60,5.2,3.4
07.02.2022 06:00,60,5.2,3.4
07.02.2022 07:00,60,5.2,3.4
07.02.2022 08:00,60,5.2,3.4
07.02.2022 09:00,60,5.2,3.4
07.02.2022 10:00,60,5.2,3.4
07.02.2022 11:00,60,5.2,3.4
07.02.2022 12:00,60,5.2,3.4
07.02.2022 13:00,60,5.2,3.4
07.02.2022 14:00,61,5.54,3.4
07.02.2022 15:00,61,5.54,3.4
07.02.2022 16:00,62,5.88,3.4
07.02.2022 17:00,63,6.24,3.4
07.02.2022 18:00,63,6.24,3.4
07.02.2022 19:00,63,6.24,3.4
07.02.2022 20:00,63,6.24,3.4
07.02.2022 21:00,64,6.62,3.4
07.02.2022 22:00,64,6.62,3.4
07.02.2022 23:00,64,6.62,3.3
08.02.2022 00:00,64,6.62,3.3
08.02.2022 01:00,64,6.62,3.3
08.02.2022 02:00,63,6.24,3.2
08.02.2022 03:00,63,6.24,3.2
08.02.2022 04:00,63,6.24,3.1
08.02.2022 05:00,63,6.24,3.1
08.02.2022 06:00,63,6.24,3.1
08.02.2022 07:00,63,6.24,3
08.02.2022 08:00,63,6.24,3
08.02.2022 09:00,63,6.24,3
08.02.2022 10:00,63,6.24,3
08.02.2022 11:00,63,6.24,3
08.02.2022 12:00,63,6.24,3
08.02.2022 13:00,63,6.24,3
08.02.2022 14:00,63,6.24,3
08.02.2022 15:00,63,6.24,3
08.02.2022 16:00,63,6.24,3
08.02.2022 17:00,63,6.24,3
08.02.2022 18:00,63,6.24,3
08.02.2022 16:00,63,6.24,3
08.02.2022 19:00,62,5.88,3
08.02.2022 20:00,62,5.88,3.1
08.02.2022 21:00,62,5.88,3.1
08.02.2022 22:00,62,5.88,3.1
09.02.2022 00:00,62,5.88,3.2
08.02.2022 23:00,63,6.24,3.1
09.02.2022 00:00,62,5.88,3.2
09.02.2022 01:00,63,6.24,3.2
09.02.2022 02:00,62,5.88,3.2
09.02.2022 03:00,62,5.88,3.3
09.02.2022 04:00,62,5.88,3.3
09.02.2022 05:00,61,5.54,3.3
09.02.2022 06:00,61,5.54,3.3
09.02.2022 07:00,61,5.54,3.4
09.02.2022 08:00,61,5.54,3.4
09.02.2022 10:00,61,5.54,3.5
09.02.2022 09:00,61,5.54,3.4
09.02.2022 10:00,61,5.54,3.5
09.02.2022 11:00,61,5.54,3.6
09.02.2022 12:00,61,5.54,3.6
09.02.2022 13:00,61,5.54,3.6
09.02.2022 14:00,62,5.88,3.7
09.02.2022 15:00,62,5.88,3.7
09.02.2022 16:00,63,6.24,3.7
09.02.2022 17:00,63,6.24,3.8
09.02.2022 18:00,64,6.62,3.8
09.02.2022 19:00,63,6.24,3.8
09.02.2022 20:00,64,6.62,3.9
09.02.2022 21:00,64,6.62,3.9
09.02.2022 22:00,64,6.62,3.9
09.02.2022 23:00,64,6.62,4
10.02.2022 00:00,64,6.62,4
09.02.2022 23:00,64,6.62,4
10.02.2022 00:00,64,6.62,4
10.02.2022 01:00,65,7,4
10.02.2022 02:00,65,7,4
10.02.2022 03:00,65,7,4
10.02.2022 04:00,64,6.62,4
